RLOI_ID,Lat,Lon,E,N
8270,54.96918003,-2.115684385,392692,563846
8271,54.97371802,-2.105886827,393320,564350
8272,54.90598034,-1.812320698,412132,556823
8273,54.97382607,-2.105637159,393336,564362
8274,54.84239881,-1.487065186,433039,549852
8275,54.5742734,-1.316500956,444283,520110
8276,54.0807194,-2.024787031,398476,464978
8277,53.9444071,-1.886448617,407551,449817
8278,53.85388314,-1.182224254,453891,440049
8279,53.93302924,-0.774880443,480533,449240
8280,53.99180301,-0.916093224,471162,455628
8281,53.84325638,-0.399580835,505397,439744
8282,53.7988918,-0.79953324,479167,434289
8288,54.7765889,-1.572577524,427592,542492
8289,54.77853841,-1.577547522,427271,542707
8290,55.67481991,-2.160931351,389977,642381
8291,55.11380509,-1.620030742,424336,580000
8292,54.91727624,-1.739228152,416814,558095
8293,55.1676518,-1.694507794,419559,585969
8294,53.72892209,-1.12527901,457808,426191
8295,53.23297647,-1.431003201,438078,370811
8296,53.23991239,-1.420932058,438744,371588
8297,53.72205275,-1.716514114,418804,425109
8298,53.69805273,-1.873146748,408473,422409
8299,53.32662958,-1.516194812,432321,381188
8300,53.2190361,-1.49310062,433944,369229
8301,53.60975818,-1.703255162,419731,412619
8302,53.70986278,-1.690234823,420544,423760
8303,53.84043233,-1.945542355,403681,438244
8304,53.69961182,-1.292925435,446780,422807
8305,53.73228351,-2.153514229,389970,426221
8306,53.79816074,-1.629692391,424489,433603
8308,53.3515295,-1.484244909,434429,383973
8309,53.70595302,-1.913297224,405821,423284
8310,53.71055157,-2.101863376,393374,423797
8311,53.68602622,-1.529969427,431140,421166
8312,53.68037875,-1.509079052,432524,420547
5184,54.11876033,-2.539478094,364835,469345
5185,54.0394597,-2.780570492,348979,460669
5186,53.93788143,-2.770324904,349527,449360
5187,53.85220859,-2.140028988,390886,439562
5188,53.85478242,-2.158994913,389639,439851
5189,53.79116776,-2.247841429,383770,432790
5191,54.00679139,-2.221993913,385548,456775
5192,53.87780962,-2.387608416,374615,442471
5205,54.86802326,-3.394369899,310610,553474
5206,54.61046458,-2.826948488,346687,524237
5207,55.06686559,-2.946370876,339660,575120
5215,54.33171518,-2.736979344,352173,493156
5208,54.66115849,-2.747009377,351910,529820
5209,54.33803985,-2.970939251,336969,494044
5210,54.56167486,-3.06880425,330984,519019
5211,54.53469434,-2.769779725,350287,515764
5212,54.66831896,-2.767467925,350599,530631
5213,55.00927468,-2.963074152,338505,568726
5214,54.8934264,-2.910803888,341680,555790
5216,54.81744139,-3.167150369,325098,547579
5203,53.38419255,-2.825916873,345162,387801
5204,53.38304732,-3.108150484,326388,387928
5193,53.49407953,-2.375566733,375181,399774
5194,53.48103427,-2.212516254,385994,398278
5195,53.69314978,-2.257835327,383072,421887
5199,53.64535956,-2.09205484,394012,416543
5200,53.61397058,-2.427888269,371790,413132
5196,53.5669257,-2.022006206,398640,407813
5197,53.40760329,-2.294672683,380508,390128
5201,54.24008784,-2.130386144,391600,482718
5198,53.28166018,-2.637791326,357573,376266
5202,53.06190292,-2.526071804,364842,351758
3354,51.23067225,-2.308286675,378571,147988
3356,51.43838297,-2.003562227,399849,171043
3357,51.58068841,-2.09449359,393549,186874
3358,51.36666256,-2.621337808,356841,163250
3359,51.28339584,-2.551804401,361612,153951
3360,51.52185313,-2.520956033,363952,180455
3361,51.44982072,-3.162234916,319333,172956
3362,51.47032896,-2.56610783,360775,174748
3355,51.02002036,-3.100624861,322898,125093
3363,51.2020309,-3.59704068,288520,145970
7401,51.30206738,-0.543315387,501647,156890
7403,51.64104084,-1.1637641,457964,193913
7404,51.66328787,-1.07527495,464056,196461
7405,51.70831817,-1.232832191,453106,201343
7406,51.70728799,-1.26293729,451027,201207
7402,51.68309781,-1.268132209,450695,198513
4241,53.00098736,-2.911789558,338907,345241
4242,53.17238705,-3.137482294,324064,364524
4243,53.13736492,-3.082457515,327683,360571
4244,53.10730403,-2.95208441,336360,357103
1161,51.1666073,-1.441824806,439124,140966
1162,50.8068885,-0.543909011,502694,101825
1163,50.85111575,-0.764560372,487065,106460
1164,51.03746671,-0.899887231,477230,127032
1165,51.0610375,-0.335077974,516770,130396
1166,50.87805449,0.500062054,575978,111706
1167,50.85168173,0.522705896,577671,108828
5220,54.39082888,-2.93148208,339612,499883
